what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411865312032
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1411865312491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411865315439
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411865316281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411865316636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411865319577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411865337019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411865412823
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1411865421231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411865423505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411865466699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411865470513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411866028650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411866029926
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411866328453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411866333365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1411866361397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1411866370666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411866387133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411866435018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1411866534663
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1411866537365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411866537774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1411866546023
